,n_point,method,time[sec],TSP[m]
0,19,tsp-solver,0.57952,11438
1,1,Pulp,0.21796,0
2,57,tsp-solver,5.74955,17241
3,1,Pulp,0.2987,0
4,36,tsp-solver,3.00825,25974
5,21,tsp-solver,0.70779,13172
6,2,Pulp,0.27661,23746
7,26,tsp-solver,1.76702,17777
8,71,tsp-solver,10.44013,18108
9,15,tsp-solver,0.25497,11295
10,27,tsp-solver,1.57067,24833
11,15,tsp-solver,0.3646,13810
12,1,Pulp,0.37643,0
13,32,tsp-solver,2.5176,20712
14,1,Pulp,0.28201,0
15,76,tsp-solver,12.01906,21069
16,1,Pulp,0.27353,0
17,26,tsp-solver,1.41005,15292
18,7,Pulp,0.73033,28763
Sum,435,,42.84478,263230
