,time[sec],TSP[m],TSP[m/cluster]
10,6.79399,332483,33248
11,10.71967,334001,30363
12,14.37402,333542,27795
13,19.81553,300640,23126
14,24.66659,302324,21594
15,55.10489,305635,20375
16,39.19416,267324,16707
17,63.10888,302374,17786
18,37.03261,273574,15198
19,42.84478,263230,13854
20,101.93941,269409,13470
21,53.58418,238849,11373
22,64.14745,230300,10468
23,87.83295,235472,10237
24,61.65419,251395,10474
25,61.63999,248874,9954
26,118.74642,231506,8904
27,106.97457,232218,8600
28,94.62873,216418,7729
29,93.84592,217693,7506
30,92.97246,215991,7199
31,216.86837,209599,6761
32,185.365,216301,6759
33,197.85987,209065,6335
34,230.24605,217817,6406
35,218.06174,211607,6045
36,201.83306,211020,5861
37,264.46398,209312,5657
38,293.96497,202784,5336
