,n_point,method,time[sec],driver[m],TSP[m],difference[m]
24089,5,Pulp,0.04593,20148,18605,-1543
26511,7,Pulp,0.29084,10825,7881,-2944
31727,15,tsp-solver,0.08865,256819,252243,-4576
54056,12,Pulp,3.00093,15324,10963,-4361
55996,15,Pulp,34.69485,8792,7659,-1133
56267,15,Pulp,0.39852,120666,115677,-4989
115430,3,Pulp,0.01922,212369,212369,0
131960,2,Pulp,0.01769,36,36,0
131970,14,Pulp,15.56801,4857,4622,-235
131994,6,Pulp,0.10175,23416,13906,-9510
132060,12,Pulp,18.69185,13935,12867,-1068
152312,2,Pulp,0.01947,3000,3000,0
152412,5,Pulp,0.05639,10497,10497,0
156126,17,tsp-solver,0.11601,4709,4109,-600
214147,6,Pulp,0.0751,8456,6712,-1744
214532,16,Pulp,20.52742,15982,12691,-3291
222657,11,Pulp,4.24962,13292,13261,-31
222911,27,tsp-solver,0.38516,54010,33870,-20140
232125,20,tsp-solver,0.22164,10064,9778,-286
232680,9,Pulp,1.33124,8003,8003,0
316632,24,tsp-solver,0.32428,25445,21357,-4088
512848,10,Pulp,2.76937,10673,9456,-1217
513108,13,tsp-solver,0.12561,17056,9038,-8018
531491,29,tsp-solver,0.71211,19178,14997,-4181
550730,6,Pulp,0.28835,4994,4994,0
612689,4,Pulp,0.12318,6437,6437,0
612752,18,tsp-solver,0.33873,62200,60742,-1458
612825,15,Pulp,8.5843,31132,23041,-8091
612842,12,Pulp,5.81302,21188,20306,-882
621634,14,Pulp,41.83777,11568,9882,-1686
631083,3,Pulp,0.11944,10550,10550,0
651003,7,Pulp,0.67689,6204,5238,-966
713350,13,tsp-solver,0.11021,6977,5955,-1022
714414,10,Pulp,3.68709,4716,4047,-669
751669,2,Pulp,0.12582,59,59,0
752039,11,Pulp,6.9646,13766,8234,-5532
860870,9,Pulp,2.07748,586506,586506,0
861633,16,Pulp,10.26049,7386,5460,-1926
Sum,435,,184.83903,1661235,1565048,-96187
