,day,DriverID,dtime[min],number,weight,distance[m]
0,20200404,12426,9,1,10,486.7622351
1,20200404,12426,48,4,12,1022.525331
2,20200404,12426,4,2,31,695.1498659
3,20200404,12426,11,1,2,1560.738871
4,20200404,12426,10,1,2,1782.745858
5,20200404,12426,2,2,100,71.2966941
6,20200404,12426,25,1,5,1425.894375
7,20200404,12426,46,1,30,776.4261663
8,20200404,12426,3,4,65,315.9756879
9,20200404,12426,8,1,25,1195.344414
10,20200404,12426,13,1,10,2152.516043
11,20200404,12426,-86,1,5,4176.684684
12,20200404,12426,5,1,15,1044.361589
13,20200404,12426,103,1,30,1265.063629
14,20200404,12426,6,1,16,323.5611339
15,20200404,12426,3,2,64,638.7718095
16,20200404,12426,-15,20,400,2005.600337
17,20200404,12426,263,8,175,3388.395798
18,20200404,12426,20,1,11,1625.217938
0,20200404,24089,-14,15,320,570.6967309
0,20200404,25852,497,69,1956,163.5075468
0,20200404,26294,31,160,1610,6.406681256
1,20200404,26294,61,40,551,0
2,20200404,26294,11,2,7,1810.656106
3,20200404,26294,14,10,300,0
0,20200404,26440,196,5,54,907.9805187
1,20200404,26440,4,12,230,53.54532048
2,20200404,26440,7,3,40,150.14171
3,20200404,26440,7,1,30,666.3162163
4,20200404,26440,-96,1,5,772.3952722
5,20200404,26440,5,1,5,157.5179907
6,20200404,26440,5,5,48,174.16332
7,20200404,26440,3,4,133,113.4903134
8,20200404,26440,51,8,136,503.9263567
9,20200404,26440,-96,3,21,853.3556511
10,20200404,26440,7,1,10,17.39132307
11,20200404,26440,11,1,10,248.6049705
12,20200404,26440,4,1,7,243.2616173
13,20200404,26440,70,4,39,401.7503977
14,20200404,26440,-166,1,5,805.6488578
15,20200404,26440,13,4,78,279.0465826
16,20200404,26440,4,1,24,106.6592583
17,20200404,26440,6,5,119,237.6078065
18,20200404,26440,43,10,312,27.5410951
19,20200404,26440,8,10,280,206.0970622
20,20200404,26440,138,2,80,3007.780767
21,20200404,26440,-224,1,1,3421.715157
22,20200404,26440,3,1,2,60.71792763
0,20200404,26511,59,1,2,2648.679634
1,20200404,26511,12,1,5,1239.000167
2,20200404,26511,16,1,2,1344.707278
3,20200404,26511,13,1,5,1466.32953
4,20200404,26511,-37,1,20,1813.944983
5,20200404,26511,16,1,5,2092.874253
6,20200404,26511,18,1,1,1101.521282
7,20200404,26511,9,1,2,362.1036258
8,20200404,26511,-12,1,5,448.641266
0,20200404,31105,9,6,290,379.3228246
1,20200404,31105,10,1,24,185.5873071
2,20200404,31105,17,50,988,31236.86075
3,20200404,31105,63,1,2,31664.91214
4,20200404,31105,9,1,5,989.8791418
5,20200404,31105,3,1,8,174.8974465
6,20200404,31105,10,1,10,1034.48307
7,20200404,31105,10,1,5,1310.262659
8,20200404,31105,5,2,20,979.6607302
9,20200404,31105,4,1,6,346.0767214
10,20200404,31105,5,5,55,562.6658988
11,20200404,31105,7,1,5,370.5153986
12,20200404,31105,49,2,80,28.74785971
13,20200404,31105,7,3,42,612.2602929
14,20200404,31105,6,1,5,42.87695198
0,20200404,31202,4,2,40,230.9689987
1,20200404,31202,4,2,8,192.3882414
2,20200404,31202,3,1,5,327.0830926
3,20200404,31202,6,5,39,178.2865542
4,20200404,31202,7,4,80,196.9777526
5,20200404,31202,5,1,10,32.15499271
6,20200404,31202,5,4,107,261.5322687
7,20200404,31202,2,1,20,109.3790219
8,20200404,31202,9,1,41,169.3349596
9,20200404,31202,47,7,47,483.4750863
10,20200404,31202,4,3,31,260.6124469
11,20200404,31202,8,13,193,185.3967068
12,20200404,31202,6,1,20,125.3873834
13,20200404,31202,5,1,1,589.5349359
14,20200404,31202,6,1,25,187.2562629
15,20200404,31202,7,4,29,852.5197436
16,20200404,31202,9,1,10,56.66793977
17,20200404,31202,2,15,300,225.4847014
18,20200404,31202,52,2,20,74.77410304
19,20200404,31202,2,22,239,383.2845709
20,20200404,31202,18,2,32,508.9992149
21,20200404,31202,23,1,5,1036.547725
22,20200404,31202,7,2,6,239.9273262
23,20200404,31202,5,5,73,109.5794339
24,20200404,31202,-55,3,30,1157.440528
25,20200404,31202,50,1,10,1181.981396
0,20200404,31727,11,2,32,100.5280086
1,20200404,31727,5,1,5,532.5477384
2,20200404,31727,4,1,10,29.05850775
3,20200404,31727,5,1,2,135.2384203
4,20200404,31727,8,1,17,162.2893671
5,20200404,31727,3,2,22,20.11158516
6,20200404,31727,59,7,102,124792.8649
7,20200404,31727,2,1,2,124974.261
8,20200404,31727,3,1,10,44.93821971
9,20200404,31727,9,1,1,63.29645291
10,20200404,31727,7,41,410,26.69706177
11,20200404,31727,7,1,9,175.8723796
0,20200404,54056,12,2,42,1058.210589
1,20200404,54056,7,16,168,511.2748714
2,20200404,54056,-7,24,850,511.2748714
3,20200404,54056,66,4,145,1151.332049
4,20200404,54056,7,1,6,166.2170003
5,20200404,54056,7,20,414,46.28957562
6,20200404,54056,12,2,9,15.36150596
7,20200404,54056,1,3,1460,59.72382649
0,20200404,54548,6,3,4,1252.173763
1,20200404,54548,5,4,37,182.8203849
2,20200404,54548,16,1,5,870.6825045
3,20200404,54548,51,1,5,396662.2725
4,20200404,54548,3,2,50,397622.4575
5,20200404,54548,3,7,70,155.5928435
6,20200404,54548,4,1,5,301.3054075
7,20200404,54548,4,1,20,223.2149154
8,20200404,54548,6,1,8,454.0004908
9,20200404,54548,7,1,20,866.4144903
10,20200404,54548,3,1,2,95.03756068
11,20200404,54548,7,1,1,518.7402553
12,20200404,54548,-84,2,40,576.949443
13,20200404,54548,102,12,29,1632.067483
14,20200404,54548,43,1,80,88.95101085
15,20200404,54548,12,1,20,703.6144487
16,20200404,54548,4,1,5,657.718581
17,20200404,54548,5,1,5,821.2959955
0,20200404,55135,13,2,1980,867.7578544
1,20200404,55135,49,2,45,699.6820344
2,20200404,55135,3,1,1,134.5552776
3,20200404,55135,5,5,30,251.1174793
4,20200404,55135,5,1,104,71.71230835
5,20200404,55135,7,8,319,292.1307228
6,20200404,55135,5,1,20,296.1376646
7,20200404,55135,8,22,412,104.0589294
8,20200404,55135,4,1,20,110.7014088
9,20200404,55135,5,1,20,393.2629751
