,day,DriverID,dtime[min],number,weight,distance[m]
0,20200501,12426,5.0,1.0,60.0,773.9043179117642
1,20200501,12426,4.0,4.0,80.0,199.37255004263008
2,20200501,12426,4.0,1.0,5.0,169.55523154093052
3,20200501,12426,7.0,1.0,20.0,1805.2383526093763
4,20200501,12426,48.0,6.0,120.0,1395.4530184550235
5,20200501,12426,4.0,1.0,2.0,649.3840320483629
6,20200501,12426,7.0,16.0,227.0,174.8311192273697
7,20200501,12426,30.0,1.0,5.0,2038.1630592998406
8,20200501,12426,5.0,5.0,90.0,671.216104657093
9,20200501,12426,5.0,1.0,1.0,885.460170910012
10,20200501,12426,48.0,1.0,15.0,5309.101085418452
0,20200501,24089,-14.0,15.0,320.0,570.6967309070916
0,20200501,25852,497.0,69.0,1956.0,163.50754675324762
0,20200501,26294,31.0,160.0,1610.0,6.406681255798339
1,20200501,26294,61.0,40.0,551.0,0.0
2,20200501,26294,11.0,2.0,7.0,1810.6561063619754
3,20200501,26294,14.0,10.0,300.0,0.0
0,20200501,26440,196.0,5.0,54.0,907.980518702006
1,20200501,26440,4.0,12.0,230.0,53.54532048087566
2,20200501,26440,7.0,3.0,40.0,150.14170995203918
3,20200501,26440,7.0,1.0,30.0,666.3162162901443
4,20200501,26440,-96.0,1.0,5.0,772.3952722123354
5,20200501,26440,5.0,1.0,5.0,157.51799074931475
6,20200501,26440,5.0,5.0,48.0,174.16331995082473
7,20200501,26440,3.0,4.0,133.0,113.49031340271368
8,20200501,26440,51.0,8.0,136.0,503.9263567339991
9,20200501,26440,-96.0,3.0,21.0,853.3556510849196
10,20200501,26440,7.0,1.0,10.0,17.39132307065566
11,20200501,26440,11.0,1.0,10.0,248.6049704618482
12,20200501,26440,4.0,1.0,7.0,243.2616173100496
13,20200501,26440,70.0,4.0,39.0,401.7503976850738
14,20200501,26440,-166.0,1.0,5.0,805.6488577796155
15,20200501,26440,13.0,4.0,78.0,279.0465825666904
16,20200501,26440,4.0,1.0,24.0,106.65925833150943
17,20200501,26440,6.0,5.0,119.0,237.60780648465925
18,20200501,26440,43.0,10.0,312.0,27.541095095151242
19,20200501,26440,8.0,10.0,280.0,206.09706216777107
20,20200501,26440,138.0,2.0,80.0,3007.7807670776915
21,20200501,26440,-224.0,1.0,1.0,3421.715156692331
22,20200501,26440,3.0,1.0,2.0,60.717927627496415
0,20200501,26511,59.0,1.0,2.0,2648.679633942665
1,20200501,26511,12.0,1.0,5.0,1239.000167113489
2,20200501,26511,16.0,1.0,2.0,1344.7072782422053
3,20200501,26511,13.0,1.0,5.0,1466.3295298627725
4,20200501,26511,-37.0,1.0,20.0,1813.9449825583636
5,20200501,26511,16.0,1.0,5.0,2092.8742529988062
6,20200501,26511,18.0,1.0,1.0,1101.5212816161113
7,20200501,26511,9.0,1.0,2.0,362.10362576586704
8,20200501,26511,-12.0,1.0,5.0,448.64126604263356
0,20200501,31105,9.0,6.0,290.0,379.3228245858124
1,20200501,31105,10.0,1.0,24.0,185.58730707090328
2,20200501,31105,17.0,50.0,988.0,31236.860752396384
3,20200501,31105,63.0,1.0,2.0,31664.912138750704
4,20200501,31105,9.0,1.0,5.0,989.8791417637167
5,20200501,31105,3.0,1.0,8.0,174.8974464519885
6,20200501,31105,10.0,1.0,10.0,1034.4830700145096
7,20200501,31105,10.0,1.0,5.0,1310.2626590286832
8,20200501,31105,5.0,2.0,20.0,979.6607301797361
9,20200501,31105,4.0,1.0,6.0,346.0767213821623
10,20200501,31105,5.0,5.0,55.0,562.6658988367658
11,20200501,31105,7.0,1.0,5.0,370.5153986024763
12,20200501,31105,49.0,2.0,80.0,28.74785971352173
13,20200501,31105,7.0,3.0,42.0,612.2602928619467
14,20200501,31105,6.0,1.0,5.0,42.87695198378029
0,20200501,31202,4.0,2.0,40.0,230.96899874596264
1,20200501,31202,4.0,2.0,8.0,192.38824140617217
2,20200501,31202,3.0,1.0,5.0,327.08309260947266
3,20200501,31202,6.0,5.0,39.0,178.28655420544987
