,driverID,endtime,dtime[min],number,weight,latitude,longitude,distance[m],date
0,12426.0,924,4.0,1.0,5.0,35.2852496,136.6380113,773.9043179117642,20191101
1,12426.0,929,5.0,2.0,25.0,35.2848006,136.6374325,72.5566263276839,20191101
2,12426.0,941,12.0,1.0,24.0,35.2914046,136.6477911,1194.3116859984646,20191101
3,12426.0,956,15.0,6.0,114.0,35.2912085,136.6058639,3809.6425443257704,20191101
4,12426.0,1019,63.0,2.0,40.0,35.2828534,136.6256022,2020.3680439101213,20191101
5,12426.0,1023,4.0,1.0,12.0,35.2823544,136.6263084,84.87554373256056,20191101
6,12426.0,1026,3.0,1.0,80.0,35.2819083,136.6266326,57.74091019242781,20191101
7,12426.0,1045,19.0,1.0,496.0,35.280728,136.6202305,596.4302530552733,20191101
8,12426.0,1050,5.0,7.0,184.0,35.2757956,136.633546,1328.8105862131845,20191101
9,12426.0,1108,58.0,35.0,403.0,35.2784027,136.6458028,1151.0581411402425,20191101
10,12426.0,1112,4.0,1.0,2.0,35.2703645,136.6385344,1112.213360505738,20191101
0,24089.0,946,15.0,3.0,62.0,35.36403755,136.60455335,521.5960605953178,20191101
1,24089.0,1018,72.0,1.0,5.0,35.3638998,136.6022313,211.3530080981375,20191101
2,24089.0,1026,8.0,6.0,132.0,35.3635258,136.6054496,295.1101925926919,20191101
0,26294.0,1003,61.0,91.0,1490.0,35.3306205,136.6738444,0.0,20191101
1,26294.0,1048,45.0,15.0,232.0,35.321156275,136.65752225,1818.6696807706946,20191101
0,26440.0,949,8.0,6.0,100.0,35.331004,136.6202157,74.74558816198164,20191101
1,26440.0,952,3.0,1.0,2.0,35.3316858,136.618217,196.7443599811303,20191101
2,26440.0,956,4.0,4.0,52.0,35.3307307,136.6188555,121.10595931997354,20191101
0,26511.0,1045,19.0,2.0,14.0,35.327588,136.6216359,1990.7535221254661,20191101
1,26511.0,1048,3.0,1.0,1.0,35.3256584,136.6197599,274.1715976852204,20191101
2,26511.0,1050,2.0,1.0,20.0,35.3252983,136.6199137,42.45011541878075,20191101
3,26511.0,1057,7.0,1.0,15.0,35.3208032,136.6074606,1236.8123506013162,20191101
0,31105.0,1025,3.0,2.0,20.0,35.3843789,136.5922467,336.7044701758152,20191101
1,31105.0,1027,2.0,1.0,2.0,35.3855665,136.5916063,144.4148374193269,20191101
2,31105.0,1030,3.0,1.0,2.0,35.390662,136.5923884,571.6519902913658,20191101
3,31105.0,1037,7.0,6.0,180.0,35.392127,136.597285,473.34402698620795,20191101
4,31105.0,1047,10.0,3.0,60.0,35.3923057,136.6036549,578.4002294804897,20191101
5,31105.0,1052,5.0,3.0,190.0,35.3938658,136.593812,909.944299941237,20191101
6,31105.0,1102,50.0,1.0,5.0,35.4010409,136.5896325,884.1967775300448,20191101
7,31105.0,1106,4.0,4.0,21.0,35.4031171,136.5904682,243.24312461647963,20191101
8,31105.0,1120,14.0,1.0,2.0,35.3957298,136.5838391,1018.869048295936,20191101
9,31105.0,1141,21.0,56.0,628.0,35.3904172,136.5844128,593.6830663358618,20191101
0,31202.0,918,3.0,1.0,12.0,35.3460426,136.6243259,288.25227651825605,20191101
1,31202.0,936,18.0,5.0,80.0,35.344299,136.6211745,345.76869805879795,20191101
2,31202.0,940,4.0,3.0,35.0,35.3452617,136.6222295,143.74165513919544,20191101
3,31202.0,947,7.0,4.0,92.0,35.3450573,136.6204297,165.00056682170333,20191101
4,31202.0,948,1.0,3.0,400.0,35.343929,136.6192569,164.6708382049871,20191101
5,31202.0,952,4.0,1.0,1.0,35.3453144,136.6225036,332.70905819086437,20191101
6,31202.0,958,6.0,2.0,3.0,35.346891,136.6131554,866.7731463181196,20191101
7,31202.0,1007,49.0,11.0,273.0,35.3454437,136.6108994,260.61244690001286,20191101
8,31202.0,1010,3.0,1.0,10.0,35.3414327,136.6096602,460.46278595439975,20191101
9,31202.0,1016,6.0,1.0,5.0,35.3411689,136.6078143,170.17105477108524,20191101
10,31202.0,1021,5.0,1.0,5.0,35.3389305,136.607063,258.34833847245534,20191101
11,31202.0,1022,1.0,1.0,15.0,35.3383087,136.6039156,294.0734482683007,20191101
12,31202.0,1029,7.0,2.0,40.0,35.3462911,136.6044707,890.0251806865792,20191101
13,31202.0,1032,3.0,10.0,150.0,35.3472758,136.6067783,236.47003664263863,20191101
14,31202.0,1047,15.0,12.0,168.0,35.34771080000001,136.6061508,74.77416344143694,20191101
15,31202.0,1051,4.0,1.0,8.0,35.3473259,136.601956,383.28457094227105,20191101
16,31202.0,1125,74.0,1.0,20.0,35.3386505,136.6119086,1322.6449315946993,20191101
0,31727.0,908,4.0,12.0,205.0,35.3425419,136.6320304,66.29623295552497,20191101
1,31727.0,916,8.0,10.0,316.0,35.3450152,136.6295927,353.2712231029612,20191101
2,31727.0,932,16.0,27.0,215.0,35.3275655,136.5995364,3350.100536076894,20191101
0,54056.0,949,13.0,3.0,115.0,35.3733551,136.6052261,1012.4287995599312,20191101
1,54056.0,954,5.0,5.0,45.0,35.37319528,136.60489116,35.22546573267132,20191101
2,54056.0,1001,47.0,1.0,20.0,35.3735511,136.6049349,39.80804403268221,20191101
3,54056.0,1008,7.0,1.0,22.0,35.4554828,136.9932905,36394.22554893719,20191101
