,driverID,endtime,dtime[min],number,weight,latitude,longitude,distance[m],date
0,12426.0,922,6.0,1.0,140.0,35.2840168,136.6200915,1149.751899729937,20200401
1,12426.0,925,3.0,1.0,14.0,35.280728,136.6202305,366.3253780382665,20200401
2,12426.0,929,4.0,1.0,10.0,35.2828534,136.6256022,542.4565292401878,20200401
3,12426.0,933,4.0,2.0,80.0,35.2819083,136.6266326,140.8407549061783,20200401
4,12426.0,938,5.0,1.0,150.0,35.2779993,136.6346841,851.2953433272661,20200401
5,12426.0,940,2.0,1.0,2.0,35.2757713,136.6335714,267.84149391109025,20200401
6,12426.0,942,2.0,1.0,5.0,35.2757956,136.633546,3.556132826195135,20200401
7,12426.0,956,14.0,2.0,64.0,35.2715896,136.6425817,945.2800324411509,20200401
8,12426.0,1011,55.0,10.0,139.0,35.2784027,136.6458028,812.9639762950505,20200401
9,12426.0,1014,3.0,1.0,3.0,35.2806182,136.6420696,419.4272761198904,20200401
10,12426.0,1018,4.0,2.0,6.0,35.2852496,136.6380113,633.8831881196842,20200401
11,12426.0,1023,5.0,5.0,62.0,35.2886757,136.647474,940.63338545429,20200401
12,12426.0,1032,9.0,2.0,22.0,35.2832892,136.6507935,671.216104657093,20200401
13,12426.0,1049,17.0,30.0,750.0,35.266815,136.6386834,2138.792516756259,20200401
0,24089.0,914,3.0,1.0,1.0,35.3599498,136.6099232,172.18105392040087,20200401
1,24089.0,921,7.0,4.0,31.0,35.3603542,136.6057782,378.9847160490586,20200401
2,24089.0,924,3.0,1.0,5.0,35.3612717,136.6047428,138.806365864369,20200401
3,24089.0,930,6.0,10.0,152.0,35.3620078,136.6036366,129.61290529250456,20200401
4,24089.0,940,10.0,1.0,1.0,35.3615305,136.6077481,377.0155293189381,20200401
5,24089.0,943,3.0,1.0,5.0,35.3610844,136.6079796,53.923635771139004,20200401
6,24089.0,949,6.0,5.0,100.0,35.3613927,136.6068975,104.05892935195119,20200401
7,24089.0,956,7.0,4.0,52.0,35.3604738,136.6073637,110.70140879307718,20200401
8,24089.0,1008,52.0,5.0,61.0,35.3623149,136.59997126666667,701.7050739602453,20200401
9,24089.0,1015,7.0,1.0,24.0,35.3632763,136.6092828,852.0625926240851,20200401
10,24089.0,1021,6.0,2.0,23.0,35.3606183,136.6120716,389.4179201743671,20200401
0,25852.0,1000,47.0,1.0,258.0,35.4297989,136.608451,196.80871799136023,20200401
0,26294.0,837,7.0,1.0,1.0,35.3323026,136.6250385,1563.083239145877,20200401
1,26294.0,843,6.0,23.0,430.0,35.3309072,136.6215107,356.05336121042194,20200401
2,26294.0,855,12.0,1.0,10.0,35.304793,136.611625,3042.540724637258,20200401
3,26294.0,857,2.0,3.0,21.0,35.304793,136.611625,0.0,20200401
0,26440.0,914,55.0,7.0,64.0,35.3275655,136.5995364,3350.100536076894,20200401
0,26511.0,949,3.0,1.0,2.0,35.3552803,136.6091247,314.9972854120569,20200401
1,26511.0,953,4.0,1.0,5.0,35.357097,136.6066386,303.0573688210851,20200401
2,26511.0,957,4.0,1.0,1.0,35.3571543,136.6001302,590.9180025699793,20200401
3,26511.0,1000,43.0,1.0,2.0,35.3574088,136.600888,74.40377126678038,20200401
4,26511.0,1011,11.0,1.0,2.0,35.3572512,136.5998408,96.67795974162233,20200401
5,26511.0,1015,4.0,1.0,1.0,35.3469043,136.6000828,1152.0211900488134,20200401
6,26511.0,1030,15.0,1.0,5.0,35.3529933,136.6105431,1166.8228559538,20200401
7,26511.0,1038,8.0,2.0,7.0,35.3464143,136.6220896,1278.8525613466195,20200401
8,26511.0,1045,7.0,1.0,2.0,35.3382358,136.6242947,932.1853699289311,20200401
9,26511.0,1051,6.0,1.0,5.0,35.3266159,136.6240272,1293.7494505342215,20200401
10,26511.0,1102,51.0,1.0,6.0,35.321743,136.6186859,727.7326730903147,20200401
11,26511.0,1108,6.0,1.0,10.0,35.3208032,136.6074606,1024.9263785941487,20200401
12,26511.0,1115,7.0,1.0,1.0,35.3122249,136.6152946,1190.9049693657178,20200401
13,26511.0,1138,23.0,1.0,5.0,35.3241515,136.5997298,1939.4459657661014,20200401
14,26511.0,1148,10.0,1.0,5.0,35.3297875,136.6056308,825.1407251625502,20200401
0,31105.0,1012,8.0,4.0,8.0,35.390662,136.5923884,571.6519902913658,20200401
1,31105.0,1016,4.0,1.0,20.0,35.3903052,136.5965666,381.24760145827565,20200401
2,31105.0,1023,7.0,1.0,10.0,35.3934378,136.5996276,445.8341183794479,20200401
3,31105.0,1029,6.0,3.0,20.0,35.3942509,136.5973546,225.25271487377046,20200401
4,31105.0,1032,3.0,1.0,60.0,35.3938658,136.593812,324.3235472477624,20200401
5,31105.0,1035,3.0,1.0,5.0,35.3937773,136.592306,137.01897587276244,20200401
6,31105.0,1050,15.0,5.0,54.0,35.4031171,136.5904682,1052.9910645873588,20200401
7,31105.0,1055,5.0,2.0,135.0,35.4044811,136.5914248,174.8974464519885,20200401
8,31105.0,1105,50.0,1.0,150.0,35.3965424,136.5843683,1091.3140711875158,20200401
9,31105.0,1129,24.0,1.0,50.0,35.3955062,136.5800021,412.65640870516927,20200401
10,31105.0,1135,6.0,1.0,3.0,35.3899827,136.5796148,615.8768944672562,20200401
11,31105.0,1136,1.0,1.0,5.0,35.3907322,136.5814243,184.19316500354395,20200401
12,31105.0,1141,5.0,1.0,2.0,35.3901258,136.5837652,222.90478082864993,20200401
13,31105.0,1144,3.0,3.0,41.0,35.3903931,136.5844719,70.70006281165037,20200401
14,31105.0,1151,7.0,1.0,60.0,35.3926836,136.5851489,262.2745514553494,20200401
15,31105.0,1155,4.0,2.0,20.0,35.38947335,136.58704895,396.78749620311766,20200401
