,"配達乗務員
コード",1st完了時刻,完了時刻,緯度,経度,個数,重量
0,24089,1029,1029,35.1142283,136.6409799,42,309
1,24089,1042,1042,35.1127311,136.6390029,9,74
2,24089,1107,1107,35.0335084,136.6150655,11,120
3,24089,1107,1107,35.1075064,136.6350935,27,499
4,24089,1119,1119,35.1003225,136.6348807,1,65
5,26511,940,940,35.3496094,136.6077486,1,5
6,26511,948,948,35.343989,136.6090281,1,2
7,26511,953,953,35.3435914,136.6073345,1,1
8,26511,1019,1019,35.3565137,136.6041548,1,10
9,26511,1032,1032,35.3404848,136.6007861,1,2
10,26511,1040,1040,35.3481167,136.6094797,1,2
11,26511,1052,1052,35.3238542,136.6128981,1,2
12,31727,914,914,35.3537817,136.6055703,1,5
13,31727,919,919,35.3550777,136.6069943,2,3
14,31727,924,924,35.3596804,136.6041777,1,20
15,31727,932,932,35.3604738,136.6073637,3,33
16,31727,943,943,35.3644233,136.6153787,1,20
17,31727,946,946,35.3625716,136.6172645,3,70
18,31727,953,953,35.375565,136.6207,2,11
19,31727,1007,1007,34.6797165,135.5338832,1,20
20,31727,1007,1007,35.3666939,136.6185582,1,32
21,31727,1007,1007,35.3667629,136.6179952,2,64
22,31727,1014,1014,35.3661958,136.6178395,1,2
23,31727,1017,1017,35.3663734,136.6194059,1,2
24,31727,1021,1021,35.3648297,136.617386,1,20
25,31727,1027,1027,35.3640365,136.6194888,1,5
26,31727,1030,1030,35.3648526,136.6187082,1,2
27,54056,844,844,35.3562318,136.6013904,4,70
28,54056,853,853,35.3654108,136.5913536,2,30
29,54056,858,858,35.3592668,136.5855562,2,30
30,54056,903,903,35.377437,136.5626777,6,72
31,54056,905,905,35.3601267,136.5831868,2,20
32,54056,908,908,35.3588802,136.5839227,1,10
33,54056,909,909,35.3590048,136.5836487,1,10
34,54056,912,912,35.3595968,136.5834714,4,77
35,54056,918,918,35.3587663,136.5746575,1,5
36,54056,932,932,35.3562385,136.5585505,9,177
37,54056,942,945,35.3676403,136.5651267,13,179
38,54056,1058,1058,35.3609664,136.5776852,1,6
39,55996,913,913,35.3279354,136.6190313,1,16
40,55996,922,922,35.3255191,136.6244525,1,7
41,55996,933,933,35.3166106,136.6199059,5,111
42,55996,933,933,35.3167296,136.6201809,1,43
43,55996,936,936,35.3191745,136.6187498,3,65
44,55996,944,944,35.322987,136.618647,1,2
45,55996,948,948,35.3279441,136.6195995,1,15
46,55996,1001,1001,35.3241271,136.5987958,1,1
47,55996,1010,1010,35.3292766,136.6107768,1,1
48,55996,1012,1012,35.329139,136.6109799,1,1
49,55996,1015,1015,35.3290511,136.6116986,1,1
50,55996,1018,1018,35.3294629,136.6110951,1,1
51,55996,1025,1025,35.3350861,136.6115993,4,40
52,55996,1025,1025,35.335121,136.611881,5,57
53,55996,1033,1033,35.3379294,136.6087736,1,10
54,56267,1017,1017,35.4567878,136.5881109,26,318
55,56267,1040,1040,35.4563164,136.575257,1,2
56,56267,1052,1052,35.4430131,136.5761495,2,30
57,56267,1101,1101,35.442879,136.5695161,1,40
58,56267,1124,1124,35.0924191,136.9584234,1,20
59,56267,1132,1132,35.444328,136.5713935,2,20
60,56267,1136,1136,35.446286,136.5702994,1,1
61,56267,1157,1157,35.4528758,136.5635762,1,5
62,56267,1202,1221,35.4473319,136.5652092,6,765
63,56267,1231,1231,35.4543297,136.5439715,1,1
64,56267,1301,1301,35.4681936,136.5495555,1,20
65,56267,1312,1312,35.469359,136.5699656,1,10
66,56267,1317,1317,35.4565951,136.5697795,1,15
67,56267,1319,1319,35.4568784,136.5688021,1,20
68,56267,1324,1324,35.4644128,136.5633266,1,2
69,115430,952,952,34.830606,135.6188409,280,2987
70,115430,952,952,34.83829,135.8266743,7,53
71,115430,952,952,35.3032859,136.6145875,7,61
72,131960,926,926,35.3297491,136.6219622,188,1097
73,131960,926,926,35.3297879,136.6221578,10,30
74,131970,926,926,35.344299,136.6211745,2,3
75,131970,930,930,35.3452617,136.6222295,1,2
76,131970,934,934,35.3441076,136.6194553,1,20
77,131970,937,937,35.3450122,136.617956,4,6
78,131970,946,946,35.3448529,136.6077678,2,15
79,131970,953,953,35.3459886,136.6066939,1,1
80,131970,1001,1001,35.3462369,136.6018977,5,84
81,131970,1008,1008,35.3404275,136.6077747,1,20
82,131970,1024,1024,35.338941,136.6069812,1,350
83,131970,1027,1027,35.3389305,136.607063,1,10
84,131970,1033,1033,35.3385894,136.6119315,2,10
85,131970,1042,1042,35.3394622,136.6143473,11,566
86,131970,1046,1046,35.3395166,136.6140164,1,63
87,131970,1048,1048,35.3392131,136.6132042,2,15
88,131994,834,834,35.3605523,136.6530049,10,70
89,131994,841,841,35.3525469,136.6438801,3,41
90,131994,1042,1042,35.300377,136.6450096,86,940
91,131994,1108,1108,35.3530684,136.6478411,1,10
92,131994,1117,1117,35.3497911,136.6459393,1,80
93,131994,1018,1355,35.309953,136.6411294,167,2110
94,132060,950,950,35.4029085,136.6312007,1,30
95,132060,959,959,35.4037576,136.6346875,1,20
96,132060,1011,1011,35.4121349,136.6083777,7,93
97,132060,1018,1018,35.4170021,136.6076939,2,2
98,132060,1026,1026,35.4179174,136.6075743,6,30
99,132060,1031,1031,35.4210215,136.607418,1,30
100,132060,1039,1039,35.4233036,136.6113567,5,40
101,132060,1045,1045,35.4225221,136.6069977,1,20
102,132060,1051,1051,35.4262085,136.6065537,2,22
103,132060,1057,1057,35.4337893,136.6027549,1,50
104,132060,1112,1112,35.4417969,136.6028461,21,229
105,132060,1134,1134,35.3932408,136.629852,10,100
106,152312,921,921,35.2806782,136.6352748,6,75
