,n_point,method,time[sec],TSP[m]
0,68,tsp-solver,0.33131,18149
1,1,tsp-solver,6e-05,0
2,1,tsp-solver,1e-05,0
3,35,tsp-solver,0.08812,23645
4,19,tsp-solver,0.02497,11438
5,27,tsp-solver,0.0524,18701
6,2,tsp-solver,0.00029,23746
7,26,tsp-solver,0.04821,24816
8,62,tsp-solver,0.27727,18509
10,14,tsp-solver,0.01349,10818
12,24,tsp-solver,0.04106,15451
13,35,tsp-solver,0.08899,22913
14,1,tsp-solver,3e-05,0
15,6,tsp-solver,0.00251,17444
16,16,tsp-solver,0.01802,24099
17,24,tsp-solver,0.04051,19199
18,72,tsp-solver,0.36211,21720
Sum,433,,1.38936,270648
