,n_point,method,time[sec],driver[m],TSP[m],difference[m]
24089,5,tsp-solver,0.0045,20148,18614,-1534
26511,7,tsp-solver,0.00695,10825,8153,-2672
31727,15,tsp-solver,0.03291,256819,252243,-4576
54056,12,tsp-solver,0.02164,15324,12116,-3208
55996,15,tsp-solver,0.03692,8792,8157,-635
56267,15,tsp-solver,0.04213,120666,116648,-4018
115430,3,tsp-solver,0.00148,212369,212369,0
131960,2,tsp-solver,0.00061,36,36,0
131970,14,tsp-solver,0.03016,4857,4628,-229
131994,6,tsp-solver,0.00528,23416,13953,-9463
132060,12,tsp-solver,0.02235,13935,12867,-1068
152312,2,tsp-solver,0.0007,3000,3000,0
152412,5,tsp-solver,0.00428,10497,10600,103
156126,17,tsp-solver,0.04318,4709,4109,-600
214147,6,tsp-solver,0.00519,8456,7073,-1383
214532,16,tsp-solver,0.04138,15982,13120,-2862
222657,11,tsp-solver,0.02345,13292,13569,277
222911,27,tsp-solver,0.14348,54010,33870,-20140
232125,20,tsp-solver,0.06566,10064,9778,-286
232680,9,tsp-solver,0.01242,8003,8460,457
316632,24,tsp-solver,0.09469,25445,21357,-4088
512848,10,tsp-solver,0.01529,10673,10490,-183
513108,13,tsp-solver,0.02867,17056,9038,-8018
531491,29,tsp-solver,0.13568,19178,14997,-4181
550730,6,tsp-solver,0.00503,4994,4994,0
612689,4,tsp-solver,0.00255,6437,6570,133
612752,18,tsp-solver,0.0533,62200,60742,-1458
612825,15,tsp-solver,0.0344,31132,24277,-6855
612842,12,tsp-solver,0.02433,21188,21139,-49
621634,14,tsp-solver,0.03142,11568,10741,-827
631083,3,tsp-solver,0.00174,10550,10550,0
651003,7,tsp-solver,0.00764,6204,5605,-599
713350,13,tsp-solver,0.03376,6977,5955,-1022
714414,10,tsp-solver,0.01252,4716,4120,-596
751669,2,tsp-solver,0.00064,59,59,0
752039,11,tsp-solver,0.01836,13766,8234,-5532
860870,9,tsp-solver,0.01233,586506,587041,535
861633,16,tsp-solver,0.04185,7386,5718,-1668
Sum,435,,1.0988699999999998,1661235,1574990,-86245
